Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,64.800003,67.120003,64.639999,66.639999,66.072899,8456113
2019-09-04,67.279999,70.959999,67.199997,70.400002,69.800903,11706713
2019-09-05,71.919998,73.839996,70.400002,70.480003,69.880234,10861388
2019-09-06,70.559998,70.559998,68.559998,69.680000,69.087021,5355775
2019-09-09,70.000000,72.400002,69.839996,71.680000,71.070007,6245063
2019-09-10,71.279999,74.160004,71.199997,73.120003,72.497757,7827150
2019-09-11,73.199997,74.879997,72.480003,74.879997,74.242775,7136863
2019-09-12,75.199997,76.160004,73.760002,74.080002,73.449585,8514388
2019-09-13,74.480003,75.599998,73.120003,74.720001,74.164230,5698675
2019-09-16,74.400002,75.360001,73.360001,75.040001,74.481850,5718550
2019-09-17,74.400002,75.120003,74.000000,74.879997,74.323036,4744250
2019-09-18,74.480003,75.120003,73.440002,75.040001,74.481850,5033838
2019-09-19,74.800003,76.000000,74.720001,75.360001,74.799469,4241913
2019-09-20,75.680000,76.320000,74.720001,74.959999,74.402443,7191300
2019-09-23,73.760002,75.120003,73.599998,74.720001,74.164230,4188888
2019-09-24,74.480003,74.800003,71.680000,71.760002,71.226250,6667875
2019-09-25,71.680000,73.599998,71.519997,73.279999,72.734940,5482425
2019-09-26,73.440002,73.680000,71.680000,72.160004,71.623283,4653725
2019-09-27,72.320000,73.360001,71.919998,72.320000,71.782082,3813875
2019-09-30,72.639999,72.800003,71.519997,71.519997,70.988022,4386425
2019-10-01,71.680000,72.320000,68.080002,68.879997,68.367676,8597325
2019-10-02,68.480003,68.959999,67.279999,68.080002,67.573624,5940100
2019-10-03,68.000000,69.680000,66.000000,69.680000,69.161713,7328325
2019-10-04,68.879997,69.599998,68.320000,68.559998,68.050034,6534100
2019-10-07,68.400002,69.199997,67.839996,68.480003,67.970650,4021300
2019-10-08,67.839996,68.000000,66.160004,66.239998,65.747299,5687800
2019-10-09,66.480003,66.959999,65.919998,66.800003,66.303139,4105100
2019-10-10,66.720001,68.160004,66.480003,67.599998,67.097191,3818263
2019-10-11,68.720001,71.360001,68.639999,70.400002,69.876366,6979375
2019-10-14,70.720001,70.800003,69.120003,69.760002,69.241119,4256588
2019-10-15,69.919998,71.360001,68.879997,71.120003,70.591003,4854288
2019-10-16,70.879997,72.559998,70.720001,71.199997,70.670410,7230188
2019-10-17,71.360001,72.720001,71.040001,72.320000,71.782082,4082625
2019-10-18,72.080002,72.800003,71.599998,71.680000,71.146843,4876613
2019-10-21,71.919998,72.959999,70.080002,70.320000,69.796959,7573100
2019-10-22,70.160004,72.480003,68.879997,72.480003,71.940903,7139388
2019-10-23,71.839996,73.199997,71.440002,73.120003,72.576126,5948113
2019-10-24,72.959999,73.199997,71.040001,71.599998,71.067429,4266463
2019-10-25,71.360001,72.720001,71.360001,72.000000,71.464462,5269963
2019-10-28,72.160004,72.959999,71.919998,72.559998,72.020294,3969363
2019-10-29,72.080002,73.120003,71.440002,72.559998,72.020294,5719875
2019-10-30,78.239998,82.959999,77.680000,80.879997,80.278412,26992925
2019-10-31,80.400002,81.680000,78.879997,79.839996,79.246140,10829238
2019-11-01,80.639999,83.120003,80.480003,83.040001,82.422340,10256663
2019-11-04,83.360001,87.599998,83.360001,87.440002,86.789612,12222500
2019-11-05,87.360001,87.760002,85.760002,87.760002,87.107239,8922713
2019-11-06,87.440002,88.800003,86.320000,88.160004,87.504265,9750288
2019-11-07,88.800003,90.559998,88.720001,90.320000,89.648193,8885288
2019-11-08,89.839996,92.400002,89.120003,92.160004,91.474510,7810075
2019-11-11,91.199997,92.000000,89.919998,90.800003,90.124626,5696950
2019-11-12,90.559998,92.639999,90.320000,91.360001,90.680450,6117863
2019-11-13,90.320000,90.879997,89.440002,90.320000,89.648193,6747663
2019-11-14,89.440002,90.800003,89.440002,90.320000,89.648193,3848825
2019-11-15,90.720001,92.400002,90.639999,92.160004,91.474510,4779525
2019-11-18,91.279999,92.000000,90.639999,91.519997,90.839272,6371550
2019-11-19,91.440002,92.400002,90.080002,92.000000,91.315704,5854100
2019-11-20,91.519997,91.919998,90.080002,91.120003,90.442238,5836263
2019-11-21,90.639999,92.959999,90.480003,92.239998,91.553917,5211100
2019-11-22,91.919998,93.760002,91.919998,92.400002,91.712715,4810225
2019-11-25,93.279999,94.720001,92.559998,92.639999,91.950935,7088775
2019-11-26,92.959999,93.360001,90.480003,90.800003,90.124626,8024238
2019-11-27,91.120003,91.760002,90.080002,90.320000,89.648193,5687338
2019-11-29,90.239998,90.879997,89.760002,90.160004,89.489395,2842413
2019-12-02,90.480003,92.160004,89.120003,89.279999,88.615921,8588888
2019-12-03,88.000000,88.879997,86.480003,87.919998,87.266052,8006088
2019-12-04,89.360001,89.440002,86.959999,87.199997,86.551407,5468563
2019-12-05,87.120003,87.680000,86.080002,86.320000,85.677948,5909175
2019-12-06,87.199997,88.879997,86.800003,88.800003,88.139511,6324613
2019-12-09,87.839996,89.040001,87.760002,87.919998,87.266052,3336963
2019-12-10,87.919998,88.239998,87.360001,88.080002,87.424858,3097613
2019-12-11,87.760002,88.720001,87.599998,87.760002,87.107239,4589063
2019-12-12,90.800003,92.559998,89.919998,91.519997,90.839272,12485013
2019-12-13,92.000000,92.800003,90.639999,90.720001,90.045235,6579638
2019-12-16,90.239998,90.879997,89.040001,89.360001,88.695328,6939113
2019-12-17,89.199997,89.839996,88.639999,88.800003,88.139511,5218663
2019-12-18,88.160004,89.120003,87.360001,87.680000,87.027840,9428513
2019-12-19,87.839996,89.199997,87.839996,88.320000,87.663071,5663325
2019-12-20,88.639999,89.120003,87.199997,88.239998,87.663078,9205138
2019-12-23,88.000000,89.360001,88.000000,89.279999,88.696266,5504150
2019-12-24,88.800003,89.599998,88.720001,89.519997,88.934692,2596125
2019-12-26,89.440002,89.839996,89.040001,89.839996,89.252602,3795838
2019-12-27,89.360001,89.680000,89.040001,89.440002,88.855232,3746475
2019-12-30,88.559998,89.279999,88.239998,88.639999,88.060448,6018250
2019-12-31,88.000000,89.279999,87.680000,89.279999,88.696266,7082250
2020-01-02,89.839996,95.680000,89.839996,95.440002,94.815994,10927725
2020-01-03,92.559998,96.000000,92.239998,95.760002,95.133904,10735725
2020-01-06,94.720001,97.680000,94.720001,97.120003,96.485016,13993588
2020-01-07,97.199997,97.919998,95.360001,96.400002,95.769722,8822413
2020-01-08,95.919998,96.400002,94.959999,95.519997,94.895470,6925313
2020-01-09,96.559998,96.720001,94.639999,95.279999,94.657028,4922138
2020-01-10,94.720001,95.279999,92.720001,93.360001,92.749603,7331500
2020-01-13,93.919998,97.199997,93.440002,96.959999,96.326065,8270188
2020-01-14,97.279999,97.519997,95.919998,96.239998,95.610764,5628750
2020-01-15,96.160004,96.160004,94.639999,94.959999,94.339134,5756375
2020-01-16,95.519997,95.839996,94.559998,94.720001,94.100700,4584200
2020-01-17,94.800003,95.440002,94.080002,94.480003,93.862274,5822588
2020-01-21,93.919998,94.400002,92.879997,93.279999,92.670128,5467275
2020-01-22,93.680000,93.680000,90.800003,90.959999,90.365295,7743475
2020-01-23,93.839996,94.800003,92.800003,94.160004,93.544365,9145363
2020-01-24,95.040001,95.120003,92.959999,93.680000,93.067505,7421975
2020-01-27,91.599998,92.720001,91.040001,91.519997,90.921631,5982825
2020-01-28,92.160004,94.559998,91.760002,93.839996,93.226456,7866075
2020-01-29,100.559998,104.000000,99.919998,103.519997,102.843163,27586163
2020-01-30,103.120003,103.919998,100.000000,101.839996,101.174141,11933663
2020-01-31,101.440002,101.919998,98.720001,99.599998,98.948799,9748000
2020-02-03,99.680000,101.440002,98.000000,98.080002,97.438736,6296063
2020-02-04,99.919998,100.959999,99.120003,100.639999,99.982002,5548150
2020-02-05,102.080002,102.879997,100.559998,102.879997,102.207344,6259238
2020-02-06,103.519997,104.000000,102.639999,103.599998,102.922646,7951738
2020-02-07,104.160004,104.720001,102.480003,102.639999,101.968918,8329575
2020-02-10,102.720001,103.760002,102.160004,103.279999,102.604744,4186938
2020-02-11,103.599998,103.839996,102.239998,102.800003,102.127884,5110288
2020-02-12,103.599998,106.080002,103.040001,105.279999,104.591660,8214113
2020-02-13,104.639999,105.279999,103.199997,103.519997,102.843163,6376538
2020-02-14,103.760002,104.559998,102.000000,102.639999,101.968918,4620888
2020-02-18,101.680000,103.599998,101.360001,102.000000,101.333099,5495438
2020-02-19,101.599998,103.519997,100.720001,100.879997,100.220421,6859788
2020-02-20,101.199997,101.440002,99.279999,100.239998,99.584610,4945238
2020-02-21,99.599998,99.680000,97.760002,98.000000,97.359253,5365150
2020-02-24,93.519997,96.480003,92.800003,94.879997,94.259659,8872250
2020-02-25,95.760002,96.000000,89.440002,90.559998,89.967903,10135925
2020-02-26,90.959999,92.320000,86.400002,87.599998,87.027252,11639750
2020-02-27,84.959999,87.599998,82.480003,83.120003,82.576553,11781313
2020-02-28,79.599998,89.519997,78.879997,87.040001,86.470924,18914513
2020-03-02,89.680000,90.720001,86.080002,89.680000,89.093651,15600275
2020-03-03,90.000000,91.040001,85.360001,87.040001,86.470924,13656150
2020-03-04,88.480003,88.959999,85.599998,87.599998,87.027252,10382888
2020-03-05,84.800003,85.839996,79.599998,80.639999,80.112762,13510900
2020-03-06,77.919998,78.080002,73.440002,75.199997,74.782524,18557938
2020-03-09,66.639999,69.279999,64.879997,65.680000,65.315369,15300088
2020-03-10,70.239998,70.800003,65.279999,70.800003,70.406937,12367363
2020-03-11,68.959999,69.279999,65.279999,65.680000,65.315369,12925313
2020-03-12,57.840000,62.240002,54.639999,57.840000,57.518898,19677013
2020-03-13,62.400002,64.320000,57.520000,62.799999,62.451355,13768075
2020-03-16,55.919998,57.200001,53.200001,53.279999,52.984207,14488838
2020-03-17,55.279999,58.639999,50.400002,56.639999,56.325554,15028250
2020-03-18,52.080002,54.400002,47.200001,52.799999,52.506870,17365875
2020-03-19,51.200001,55.279999,49.200001,51.840000,51.552208,12374213
2020-03-20,56.080002,56.400002,51.599998,52.160000,51.870426,15766088
2020-03-23,51.599998,53.040001,48.240002,48.880001,48.608639,13203888
2020-03-24,53.279999,56.480000,51.759998,56.080002,55.768669,14936725
2020-03-25,59.599998,64.000000,55.680000,60.480000,60.144241,17235813
2020-03-26,61.040001,66.400002,60.080002,64.959999,64.599365,15397613
2020-03-27,61.439999,62.959999,60.320000,60.959999,60.621574,11662375
2020-03-30,60.320000,63.520000,58.799999,63.119999,62.769581,10856275
2020-03-31,62.959999,65.440002,62.560001,63.520000,63.167366,15143738
2020-04-01,60.160000,60.400002,56.000000,56.320000,56.007332,12444613
2020-04-02,56.160000,59.119999,54.160000,55.200001,54.893555,12187300
2020-04-03,56.240002,56.400002,52.639999,53.840000,53.541100,12225413
2020-04-06,56.560001,58.400002,55.520000,57.840000,57.518898,12256075
2020-04-07,61.520000,62.000000,56.000000,56.240002,55.927780,12010975
2020-04-08,57.439999,59.040001,56.480000,58.400002,58.075783,11581338
2020-04-09,59.599998,60.320000,56.720001,57.119999,56.802887,16012200
2020-04-13,57.040001,57.040001,54.080002,56.160000,55.848221,11759313
2020-04-14,56.799999,57.919998,54.720001,55.439999,55.132214,13383400
2020-04-15,53.840000,53.840000,50.799999,52.000000,51.711315,17277600
2020-04-16,51.840000,52.320000,49.599998,49.919998,49.642857,20709775
2020-04-17,51.759998,55.520000,50.720001,54.720001,54.416218,20738475
2020-04-20,52.880001,54.000000,51.680000,52.080002,51.790871,12461450
2020-04-21,51.119999,52.639999,50.400002,51.840000,51.552208,9681638
2020-04-22,52.720001,53.119999,51.200001,51.439999,51.154423,9593775
2020-04-23,51.680000,53.919998,51.439999,52.160000,51.870426,10349513
2020-04-24,52.720001,52.799999,50.000000,50.080002,49.801979,19452050
2020-04-27,51.040001,51.759998,50.639999,51.439999,51.154423,13379775
2020-04-28,52.560001,55.360001,52.560001,54.400002,54.097996,17583575
2020-04-29,53.439999,55.200001,52.160000,52.639999,52.347763,28153500
2020-04-30,52.480000,54.560001,51.279999,54.400002,54.097996,21963888
2020-05-01,53.360001,53.919998,51.279999,52.000000,51.711315,15047063
2020-05-04,50.400002,50.480000,49.200001,49.680000,49.404202,17106550
2020-05-05,50.240002,51.680000,49.279999,49.599998,49.324642,14624813
2020-05-06,49.599998,50.000000,47.759998,47.840000,47.574409,14656700
2020-05-07,48.480000,50.080002,48.480000,48.880001,48.608639,12582913
2020-05-08,49.680000,50.639999,49.279999,50.320000,50.040646,11704663
2020-05-11,49.919998,50.000000,49.040001,49.520000,49.245079,8980375
2020-05-12,49.759998,50.240002,48.000000,48.000000,47.733524,11956525
2020-05-13,48.000000,48.160000,43.840000,46.320000,46.062847,29468163
2020-05-14,44.959999,47.200001,43.840000,45.599998,45.346844,17525675
2020-05-15,44.880001,45.279999,43.840000,43.919998,43.676170,16060775
2020-05-18,45.919998,51.919998,45.919998,50.160000,49.881531,31819800
2020-05-19,50.320000,50.959999,48.720001,49.680000,49.404202,13560638
2020-05-20,50.639999,51.759998,50.320000,51.360001,51.074871,11410925
2020-05-21,51.360001,52.400002,50.639999,51.840000,51.552208,12352638
2020-05-22,51.840000,51.840000,50.160000,51.279999,50.995312,8698275
2020-05-26,54.320000,55.520000,54.320000,54.400002,54.097996,16188838
2020-05-27,58.000000,59.439999,56.720001,58.320000,57.996227,18468863
2020-05-28,59.919998,59.919998,53.919998,54.240002,53.938881,17339350
2020-05-29,52.480000,53.759998,51.520000,52.560001,52.268208,16162513
2020-06-01,52.639999,54.560001,51.919998,54.080002,53.779770,9397338
2020-06-02,55.200001,57.439999,54.880001,56.400002,56.086891,14196925
2020-06-03,57.759998,59.360001,57.439999,58.880001,58.553120,15352438
2020-06-04,58.480000,62.000000,57.360001,61.919998,61.576241,15649238
2020-06-05,67.599998,68.480003,62.639999,63.040001,62.690029,20976450
2020-06-08,65.760002,68.559998,64.879997,67.680000,67.304268,19807388
2020-06-09,65.519997,65.680000,63.200001,64.160004,63.803806,14705650
2020-06-10,63.759998,63.840000,60.160000,60.880001,60.542023,14619313
2020-06-11,56.480000,58.799999,54.720001,55.599998,55.291328,15562863
2020-06-12,58.720001,59.439999,56.639999,58.000000,57.678005,12623213
